comparison,metric,quantity,cluster,estimate,lower,upper,n,clusters
pm_off-rule_off,overall,original,user_id,0.10416666666666667,-0.043478260869565216,0.3043921916592718,48,18
pm_off-rule_off,overall,original,scenario_id,0.10416666666666667,-0.04446969696969695,0.2765957446808511,48,34
pm_off-rule_off,overall,reverse,user_id,-0.041666666666666664,-0.15217391304347827,0.08,48,18
pm_off-rule_off,overall,reverse,scenario_id,-0.041666666666666664,-0.1698213568847852,0.0851063829787234,48,34
pm_off-rule_off,overall,averaged_orders,user_id,0.03125,-0.061224489795918366,0.1702127659574468,48,18
pm_off-rule_off,overall,averaged_orders,scenario_id,0.03125,-0.0625,0.14130434782608695,48,34
pm_off-rule_off,overall,reverse_minus_original,user_id,-0.14583333333333334,-0.32608695652173914,0.0,48,18
pm_off-rule_off,overall,reverse_minus_original,scenario_id,-0.14583333333333334,-0.3636800699300699,0.0625,48,34
pm_off-rule_off,emotional_support,original,user_id,0.10416666666666667,-0.043478260869565216,0.3043921916592718,48,18
pm_off-rule_off,emotional_support,original,scenario_id,0.10416666666666667,-0.04446969696969695,0.2765957446808511,48,34
pm_off-rule_off,emotional_support,reverse,user_id,-0.041666666666666664,-0.15217391304347827,0.08,48,18
pm_off-rule_off,emotional_support,reverse,scenario_id,-0.041666666666666664,-0.1698213568847852,0.0851063829787234,48,34
pm_off-rule_off,emotional_support,averaged_orders,user_id,0.03125,-0.061224489795918366,0.1702127659574468,48,18
pm_off-rule_off,emotional_support,averaged_orders,scenario_id,0.03125,-0.0625,0.14130434782608695,48,34
pm_off-rule_off,emotional_support,reverse_minus_original,user_id,-0.14583333333333334,-0.32608695652173914,0.0,48,18
pm_off-rule_off,emotional_support,reverse_minus_original,scenario_id,-0.14583333333333334,-0.3636800699300699,0.0625,48,34
pm_off-rule_off,personalization,original,user_id,0.041666666666666664,-0.08515263644773353,0.19230769230769232,48,18
pm_off-rule_off,personalization,original,scenario_id,0.041666666666666664,-0.09259259259259259,0.19148936170212766,48,34
pm_off-rule_off,personalization,reverse,user_id,-0.041666666666666664,-0.16666666666666666,0.0851063829787234,48,18
pm_off-rule_off,personalization,reverse,scenario_id,-0.041666666666666664,-0.1702127659574468,0.08695652173913043,48,34
pm_off-rule_off,personalization,averaged_orders,user_id,0.0,-0.09782608695652174,0.127456195244055,48,18
pm_off-rule_off,personalization,averaged_orders,scenario_id,0.0,-0.09375,0.10576923076923077,48,34
pm_off-rule_off,personalization,reverse_minus_original,user_id,-0.08333333333333333,-0.2222222222222222,0.044444444444444446,48,18
pm_off-rule_off,personalization,reverse_minus_original,scenario_id,-0.08333333333333333,-0.2727272727272727,0.09260335917312645,48,34
pm_off-rule_off,memory_appropriateness,original,user_id,-0.020833333333333332,-0.11363636363636363,0.06382978723404255,48,18
pm_off-rule_off,memory_appropriateness,original,scenario_id,-0.020833333333333332,-0.10869565217391304,0.06666666666666667,48,34
pm_off-rule_off,memory_appropriateness,reverse,user_id,-0.08333333333333333,-0.16666666666666666,-0.02,48,18
pm_off-rule_off,memory_appropriateness,reverse,scenario_id,-0.08333333333333333,-0.18186456400742113,0.0,48,34
pm_off-rule_off,memory_appropriateness,averaged_orders,user_id,-0.052083333333333336,-0.10465116279069768,0.0,48,18
pm_off-rule_off,memory_appropriateness,averaged_orders,scenario_id,-0.052083333333333336,-0.11,0.0,48,34
pm_off-rule_off,memory_appropriateness,reverse_minus_original,user_id,-0.0625,-0.2,0.06521739130434782,48,18
pm_off-rule_off,memory_appropriateness,reverse_minus_original,scenario_id,-0.0625,-0.2127659574468085,0.08163265306122448,48,34
pm_off-rule_off,factual_grounding,original,user_id,0,0.0,0.0,48,18
pm_off-rule_off,factual_grounding,original,scenario_id,0,0.0,0.0,48,34
pm_off-rule_off,factual_grounding,reverse,user_id,0,0.0,0.0,48,18
pm_off-rule_off,factual_grounding,reverse,scenario_id,0,0.0,0.0,48,34
pm_off-rule_off,factual_grounding,averaged_orders,user_id,0.0,0.0,0.0,48,18
pm_off-rule_off,factual_grounding,averaged_orders,scenario_id,0.0,0.0,0.0,48,34
pm_off-rule_off,factual_grounding,reverse_minus_original,user_id,0,0.0,0.0,48,18
pm_off-rule_off,factual_grounding,reverse_minus_original,scenario_id,0,0.0,0.0,48,34
pm_off-rule_off,temporal_consistency,original,user_id,0,0.0,0.0,48,18
pm_off-rule_off,temporal_consistency,original,scenario_id,0,0.0,0.0,48,34
pm_off-rule_off,temporal_consistency,reverse,user_id,0,0.0,0.0,48,18
pm_off-rule_off,temporal_consistency,reverse,scenario_id,0,0.0,0.0,48,34
pm_off-rule_off,temporal_consistency,averaged_orders,user_id,0.0,0.0,0.0,48,18
pm_off-rule_off,temporal_consistency,averaged_orders,scenario_id,0.0,0.0,0.0,48,34
pm_off-rule_off,temporal_consistency,reverse_minus_original,user_id,0,0.0,0.0,48,18
pm_off-rule_off,temporal_consistency,reverse_minus_original,scenario_id,0,0.0,0.0,48,34
pm_off-rule_off,non_intrusiveness,original,user_id,0,0.0,0.0,48,18
pm_off-rule_off,non_intrusiveness,original,scenario_id,0,0.0,0.0,48,34
pm_off-rule_off,non_intrusiveness,reverse,user_id,-0.020833333333333332,-0.13043478260869565,0.058823529411764705,48,18
pm_off-rule_off,non_intrusiveness,reverse,scenario_id,-0.020833333333333332,-0.12244897959183673,0.061224489795918366,48,34
pm_off-rule_off,non_intrusiveness,averaged_orders,user_id,-0.010416666666666666,-0.06521739130434782,0.029411764705882353,48,18
