arm,metric,n,original_mean,reverse_mean,averaged_mean,mean_absolute_order_difference
pm_off,overall,48,3.5,3.5625,3.53125,0.4375
pm_off,emotional_support,48,3.4791666666666665,3.4583333333333335,3.46875,0.4375
pm_off,personalization,48,3.375,3.4791666666666665,3.4270833333333335,0.4791666666666667
pm_off,memory_appropriateness,48,3.625,3.9166666666666665,3.7708333333333335,0.7083333333333334
pm_off,factual_grounding,48,5,5,5.0,0
pm_off,temporal_consistency,48,5,5,5.0,0
pm_off,non_intrusiveness,48,4.916666666666667,4.916666666666667,4.916666666666667,0.041666666666666664
rule_off,overall,48,3.3958333333333335,3.6041666666666665,3.5,0.4583333333333333
rule_off,emotional_support,48,3.375,3.5,3.4375,0.4583333333333333
rule_off,personalization,48,3.3333333333333335,3.5208333333333335,3.4270833333333335,0.4791666666666667
rule_off,memory_appropriateness,48,3.6458333333333335,4,3.8229166666666665,0.7708333333333334
rule_off,factual_grounding,48,5,5,5.0,0
rule_off,temporal_consistency,48,5,5,5.0,0
rule_off,non_intrusiveness,48,4.916666666666667,4.9375,4.927083333333333,0.0625
fixed_off,overall,48,3.3541666666666665,3.5625,3.4583333333333335,0.4583333333333333
fixed_off,emotional_support,48,3.3333333333333335,3.4791666666666665,3.40625,0.4375
fixed_off,personalization,48,3.2916666666666665,3.4791666666666665,3.3854166666666665,0.4791666666666667
fixed_off,memory_appropriateness,48,3.625,4,3.8125,0.7916666666666666
fixed_off,factual_grounding,48,5,5,5.0,0
fixed_off,temporal_consistency,48,5,5,5.0,0
fixed_off,non_intrusiveness,48,4.916666666666667,4.916666666666667,4.916666666666667,0.08333333333333333
pm_on,overall,48,3.2916666666666665,3.5,3.3958333333333335,0.4166666666666667
pm_on,emotional_support,48,3.25,3.4375,3.34375,0.3958333333333333
pm_on,personalization,48,3.1666666666666665,3.4166666666666665,3.2916666666666665,0.5
pm_on,memory_appropriateness,48,3.4791666666666665,3.8958333333333335,3.6875,0.75
pm_on,factual_grounding,48,5,5,5.0,0
pm_on,temporal_consistency,48,5,5,5.0,0
pm_on,non_intrusiveness,48,4.895833333333333,4.916666666666667,4.90625,0.020833333333333332
rule_on,overall,48,3.3541666666666665,3.4791666666666665,3.4166666666666665,0.3333333333333333
rule_on,emotional_support,48,3.3125,3.4166666666666665,3.3645833333333335,0.3125
rule_on,personalization,48,3.2708333333333335,3.3958333333333335,3.3333333333333335,0.375
rule_on,memory_appropriateness,48,3.5416666666666665,3.8541666666666665,3.6979166666666665,0.6875
rule_on,factual_grounding,48,5,5,5.0,0
rule_on,temporal_consistency,48,5,5,5.0,0
rule_on,non_intrusiveness,48,4.875,4.9375,4.90625,0.0625
fixed_on,overall,48,3.3541666666666665,3.5,3.4270833333333335,0.3541666666666667
fixed_on,emotional_support,48,3.3333333333333335,3.4375,3.3854166666666665,0.3125
fixed_on,personalization,48,3.25,3.4166666666666665,3.3333333333333335,0.4166666666666667
fixed_on,memory_appropriateness,48,3.5208333333333335,3.875,3.6979166666666665,0.7291666666666666
fixed_on,factual_grounding,48,5,5,5.0,0
fixed_on,temporal_consistency,48,5,5,5.0,0
fixed_on,non_intrusiveness,48,4.875,4.9375,4.90625,0.0625
