arm,action_type,action,count,percent
pm_off,requested_action_id,ME+R0,1,0.49019607843137253
pm_off,requested_action_id,ME+RS,4,1.9607843137254901
pm_off,requested_action_id,MP+R0,1,0.49019607843137253
pm_off,requested_action_id,MP+RS,26,12.745098039215685
pm_off,requested_action_id,MPE+RS,15,7.352941176470588
pm_off,requested_action_id,MPMS+RS,31,15.196078431372548
pm_off,requested_action_id,MS+R0,1,0.49019607843137253
pm_off,requested_action_id,MS+RS,13,6.372549019607843
pm_off,requested_action_id,MSE+R0,9,4.411764705882353
pm_off,requested_action_id,MSE+RS,103,50.490196078431374
pm_off,effective_action_id,ME+R0,1,0.49019607843137253
pm_off,effective_action_id,ME+RS,4,1.9607843137254901
pm_off,effective_action_id,MP+R0,1,0.49019607843137253
pm_off,effective_action_id,MP+RS,26,12.745098039215685
pm_off,effective_action_id,MPE+RS,15,7.352941176470588
pm_off,effective_action_id,MPMS+RS,31,15.196078431372548
pm_off,effective_action_id,MS+R0,1,0.49019607843137253
pm_off,effective_action_id,MS+RS,13,6.372549019607843
pm_off,effective_action_id,MSE+R0,9,4.411764705882353
pm_off,effective_action_id,MSE+RS,103,50.490196078431374
pm_on,requested_action_id,ME+R0,1,0.49019607843137253
pm_on,requested_action_id,ME+RS,4,1.9607843137254901
pm_on,requested_action_id,MP+R0,1,0.49019607843137253
pm_on,requested_action_id,MP+RS,26,12.745098039215685
pm_on,requested_action_id,MPE+RS,15,7.352941176470588
pm_on,requested_action_id,MPMS+RS,31,15.196078431372548
pm_on,requested_action_id,MS+R0,1,0.49019607843137253
pm_on,requested_action_id,MS+RS,13,6.372549019607843
pm_on,requested_action_id,MSE+R0,9,4.411764705882353
pm_on,requested_action_id,MSE+RS,103,50.490196078431374
pm_on,effective_action_id,M0+R0,2,0.9803921568627451
pm_on,effective_action_id,M0+RS,40,19.607843137254903
pm_on,effective_action_id,MP+RS,5,2.450980392156863
pm_on,effective_action_id,MPMS+RS,6,2.9411764705882355
pm_on,effective_action_id,MS+R0,10,4.901960784313726
pm_on,effective_action_id,MS+RS,140,68.62745098039215
pm_on,effective_action_id,MSE+RS,1,0.49019607843137253
rule_off,requested_action_id,MSE+RS,204,100.0
rule_off,effective_action_id,MSE+RS,204,100.0
rule_on,requested_action_id,MSE+RS,204,100.0
rule_on,effective_action_id,MS+RS,203,99.50980392156863
rule_on,effective_action_id,MSE+RS,1,0.49019607843137253
fixed_off,requested_action_id,MPMSME+RS,204,100.0
fixed_off,effective_action_id,MPMSME+RS,204,100.0
fixed_on,requested_action_id,MPMSME+RS,204,100.0
fixed_on,effective_action_id,MPMS+RS,31,15.196078431372548
fixed_on,effective_action_id,MS+RS,172,84.31372549019608
fixed_on,effective_action_id,MSE+RS,1,0.49019607843137253
