category,metric,unit,pm_off,pm_on,rule_off,rule_on,fixed_off,fixed_on,definition,aggregation,field
样本,状态／回复数,条,204,204,204,204,204,204,全部固定状态等权。,sum,natural_stop
质量,Overall 总体质量 ↑,1–5,3.446078431372549,3.264705882352941,3.4362745098039214,3.269607843137255,3.480392156862745,3.284313725490196,匿名六候选质量 judge；均值。,mean,overall
质量,情感支持 ↑,1–5,3.411764705882353,3.215686274509804,3.4019607843137254,3.230392156862745,3.4313725490196076,3.2450980392156863,匿名六候选质量 judge；均值。,mean,emotional_support
质量,个性化 ↑,1–5,3.338235294117647,3.1666666666666665,3.357843137254902,3.1813725490196076,3.377450980392157,3.196078431372549,匿名六候选质量 judge；均值。,mean,personalization
质量,记忆适当性 ↑,1–5,3.676470588235294,3.5588235294117645,3.6715686274509802,3.5588235294117645,3.700980392156863,3.573529411764706,匿名六候选质量 judge；均值。,mean,memory_appropriateness
质量,事实依据 ↑,1–5,5,5,5,5,5,5,匿名六候选质量 judge；均值。,mean,factual_grounding
质量,时间一致性 ↑,1–5,5,5,5,5,5,5,匿名六候选质量 judge；均值。,mean,temporal_consistency
质量,非侵入性 ↑,1–5,4.9068627450980395,4.897058823529412,4.897058823529412,4.897058823529412,4.897058823529412,4.897058823529412,匿名六候选质量 judge；均值。,mean,non_intrusiveness
风险审计,来源集合适配度 ↑,1–5,4.382352941176471,4.122549019607843,4.411764705882353,4.348039215686274,4.53921568627451,4.352941176470588,selected-context risk judge；均值。,mean,risk_source_set_appropriateness
风险审计,上下文误用严重度 ↓,0–3,0.00980392156862745,0.024509803921568627,0.014705882352941176,0.014705882352941176,0.004901960784313725,0.029411764705882353,selected-context risk judge；均值。,mean,risk_selected_evidence_misuse
风险审计,不必要信息暴露 ↓,0–3,0,0,0,0,0,0,selected-context risk judge；均值。,mean,risk_unnecessary_exposure
风险审计,过时或冲突信息使用 ↓,0–3,0,0,0,0,0,0,selected-context risk judge；均值。,mean,risk_stale_or_conflict
