attempt_id,phase,stage,arm,unit_id,attempt_number,status,active_main_score,actual_usd,prompt_tokens,completion_tokens,cached_tokens,created_at
595b849affd805f2ba190c9d5a8490b3a9359c54-1,generation,generation,pm_off,state_1bb2fbdd19dca1a22bdc,1,done,0,0.0,1818,81,,2026-09-10T06:15:17.314963+00:00
3af7f5fa97370c3952c3d5cef235e709534cab93-1,generation,generation,pm_on,state_1bb2fbdd19dca1a22bdc,1,done,0,0.0,780,53,,2026-09-10T06:15:20.784057+00:00
44f57c995e7c4ee14490cf07aeaee560a942f309-1,generation,generation,rule_off,state_1bb2fbdd19dca1a22bdc,1,done,0,0.0,1818,81,,2026-09-10T06:15:22.326542+00:00
c0c4e415a70c2c1005f588cb04b0ba561300def3-1,generation,generation,rule_on,state_1bb2fbdd19dca1a22bdc,1,done,0,0.0,780,53,,2026-09-10T06:15:24.825620+00:00
9d33994eda87c87cbff7e1bb004736eda6338c27-1,generation,generation,fixed_off,state_1bb2fbdd19dca1a22bdc,1,done,0,0.0,1846,71,,2026-09-10T06:15:26.364558+00:00
5b3a55d3fbfe249e22c3b691fccac2be37843a96-1,generation,generation,fixed_on,state_1bb2fbdd19dca1a22bdc,1,done,0,0.0,796,55,,2026-09-10T06:15:28.594180+00:00
273a74df606f5e3e2cca63d461d04bbf3c101575-1,generation,generation,pm_off,state_b34bb1d28ab722e83dc6,1,done,0,0.0,1577,87,,2026-09-10T06:15:30.185886+00:00
486a76cc29c83a3279a57927f25b02848d108347-1,generation,generation,pm_on,state_b34bb1d28ab722e83dc6,1,done,0,0.0,716,79,,2026-09-10T06:15:32.797615+00:00
c3c2322ef7cac9254678db496778c69fbbdef611-1,generation,generation,rule_off,state_b34bb1d28ab722e83dc6,1,done,0,0.0,1577,87,,2026-09-10T06:15:35.026622+00:00
3a54cc511877e0c6e180355a668db949ff7f8a72-1,generation,generation,rule_on,state_b34bb1d28ab722e83dc6,1,done,0,0.0,716,79,,2026-09-10T06:15:37.643892+00:00
dffc8f3eba4a6870892b63a2db607318c5e87099-1,generation,generation,fixed_off,state_b34bb1d28ab722e83dc6,1,done,0,0.0,1606,87,,2026-09-10T06:15:39.856530+00:00
5af779279d36d1b5168bbb46f947b01968ebe3be-1,generation,generation,fixed_on,state_b34bb1d28ab722e83dc6,1,done,0,0.0,716,79,,2026-09-10T06:15:42.467421+00:00
6d058866217fc292959b7c8d8ef87ef427a2ceb9-1,generation,generation,pm_off,state_716d2a6c535b740cb855,1,done,0,0.0,1476,61,,2026-09-10T06:15:44.683701+00:00
9445982172b94b2398c87ea916caaa6aefc7ef5e-1,generation,generation,pm_on,state_716d2a6c535b740cb855,1,done,0,0.0,732,86,,2026-09-10T06:15:46.568945+00:00
5a7ecded4fb53f89c38f608493790c9064fe9257-1,generation,generation,rule_off,state_716d2a6c535b740cb855,1,done,0,0.0,1476,61,,2026-09-10T06:15:48.977262+00:00
cc5a04494544f152023592c939d194c34e6d5f39-1,generation,generation,rule_on,state_716d2a6c535b740cb855,1,done,0,0.0,732,86,,2026-09-10T06:15:50.868661+00:00
a0812858d6502f9cb02741cacaffa8467148b253-1,generation,generation,fixed_off,state_716d2a6c535b740cb855,1,done,0,0.0,1502,61,,2026-09-10T06:15:53.282016+00:00
81c91d18ee5b42ad9285be02c10216d4d488e59e-1,generation,generation,fixed_on,state_716d2a6c535b740cb855,1,done,0,0.0,732,86,,2026-09-10T06:15:55.172335+00:00
297e9da7da570bda9f9c58896dac00ddc8bda2ab-1,generation,generation,pm_off,state_21bae6b972f2df1611a6,1,done,0,0.0,649,65,,2026-09-10T06:15:57.580664+00:00
9d4f16102f37d6476bf0cb5520f6d717ef6fbd48-1,generation,generation,pm_on,state_21bae6b972f2df1611a6,1,done,0,0.0,610,58,,2026-09-10T06:15:59.422415+00:00
83e38848f1f003f8b7fdc3fddc99e5030a039321-1,generation,generation,rule_off,state_21bae6b972f2df1611a6,1,done,0,0.0,1730,82,,2026-09-10T06:16:01.065488+00:00
afc233b15770dc46eea55cb7404a72ee6d485429-1,generation,generation,rule_on,state_21bae6b972f2df1611a6,1,done,0,0.0,703,65,,2026-09-10T06:16:03.594468+00:00
7f3a80a2acda7ee4e710a9b69c2ee4d0250fac3a-1,generation,generation,fixed_off,state_21bae6b972f2df1611a6,1,done,0,0.0,1760,75,,2026-09-10T06:16:05.441989+00:00
9d30297611ecac20a4eb22cb5d0e39959032e441-1,generation,generation,fixed_on,state_21bae6b972f2df1611a6,1,done,0,0.0,703,65,,2026-09-10T06:16:07.787380+00:00
2b1087da71c9c1097ffd0f842b1f03820ae39edd-1,generation,generation,pm_off,state_7a0219635c9621d6fd9e,1,done,0,0.0,613,62,,2026-09-10T06:16:09.637861+00:00
