item,value
status,PASS
checks.complete,True
checks.mini_order_stability,True
checks.reference_order_stability,True
checks.overall_agreement,True
checks.misuse_agreement,True
checks.omission_agreement,True
order_reports.mini.status,PASS
order_reports.mini.checks.has_two_order_variants,True
order_reports.mini.checks.order_mean_abs_diff,True
order_reports.mini.checks.position_mean_shift,True
order_reports.mini.order_stability.paired_condition_scores,72
order_reports.mini.order_stability.mean_abs_diff_overall,0.375
order_reports.mini.order_stability.max_abs_diff_overall,2.0
order_reports.mini.position_bias.global_mean_overall,3.5347222222222223
order_reports.mini.position_bias.position_means_overall.1,3.2083333333333335
order_reports.mini.position_bias.position_means_overall.2,3.5416666666666665
order_reports.mini.position_bias.position_means_overall.3,3.5
order_reports.mini.position_bias.position_means_overall.4,3.5833333333333335
order_reports.mini.position_bias.position_means_overall.5,3.5833333333333335
order_reports.mini.position_bias.position_means_overall.6,3.7916666666666665
order_reports.mini.position_bias.max_position_mean_shift,0.32638888888888884
order_reports.mini.thresholds.max_order_mean_abs_diff,0.5
order_reports.mini.thresholds.max_position_mean_shift,0.4
order_reports.reference.status,PASS
order_reports.reference.checks.has_two_order_variants,True
order_reports.reference.checks.order_mean_abs_diff,True
order_reports.reference.checks.position_mean_shift,True
order_reports.reference.order_stability.paired_condition_scores,72
order_reports.reference.order_stability.mean_abs_diff_overall,0.08333333333333333
order_reports.reference.order_stability.max_abs_diff_overall,1.0
order_reports.reference.position_bias.global_mean_overall,3.4027777777777777
order_reports.reference.position_bias.position_means_overall.1,3.25
order_reports.reference.position_bias.position_means_overall.2,3.4583333333333335
order_reports.reference.position_bias.position_means_overall.3,3.375
order_reports.reference.position_bias.position_means_overall.4,3.4166666666666665
order_reports.reference.position_bias.position_means_overall.5,3.4166666666666665
order_reports.reference.position_bias.position_means_overall.6,3.5
order_reports.reference.position_bias.max_position_mean_shift,0.15277777777777768
order_reports.reference.thresholds.max_order_mean_abs_diff,0.5
order_reports.reference.thresholds.max_position_mean_shift,0.4
reference_comparison.overall_mae,0.4583333333333333
reference_comparison.clear_misuse_agreement,1.0
reference_comparison.clear_omission_agreement,1.0
thresholds.complete_valid_observations_required,True
thresholds.max_order_mean_abs_diff,0.5
thresholds.max_position_mean_shift,0.4
thresholds.order_gate_provenance,v1 evo_response_v4.run_response_v4 defaults; applied to both judges.
thresholds.max_reference_overall_mae,0.75
thresholds.minimum_reference_binary_agreement,0.8
thresholds.reference_gate_provenance,New operational screening thresholds fixed before any outputs; not established equivalence criteria.
thresholds.reference_quality_comparison_order,0
thresholds.binary_misuse_and_omission_threshold,2
thresholds.failure_action,Stop before full scoring; preserve all pilot scores; no outcome-directed parameter changes.
limitation,Technical screening only; same-family model reference is not human ground truth or proof of judge equivalence.
