phase,arm,stage,variant,metric,n,mean
pilot_mini,pm_off,quality,0,overall,12,3.5833333333333335
pilot_mini,pm_off,quality,0,emotional_support,12,3.5
pilot_mini,pm_off,quality,0,personalization,12,3.3333333333333335
pilot_mini,pm_off,quality,0,memory_appropriateness,12,3.75
pilot_mini,pm_off,quality,0,factual_grounding,12,5
pilot_mini,pm_off,quality,0,temporal_consistency,12,5
pilot_mini,pm_off,quality,0,non_intrusiveness,12,4.833333333333333
pilot_mini,pm_off,quality,1,overall,12,3.6666666666666665
pilot_mini,pm_off,quality,1,emotional_support,12,3.5833333333333335
pilot_mini,pm_off,quality,1,personalization,12,3.4166666666666665
pilot_mini,pm_off,quality,1,memory_appropriateness,12,3.8333333333333335
pilot_mini,pm_off,quality,1,factual_grounding,12,5
pilot_mini,pm_off,quality,1,temporal_consistency,12,5
pilot_mini,pm_off,quality,1,non_intrusiveness,12,4.916666666666667
pilot_mini,pm_off,risk,0,selected_evidence_misuse,12,0
pilot_mini,pm_off,risk,0,unnecessary_exposure,12,0
pilot_mini,pm_off,risk,0,stale_or_conflict,12,0
pilot_mini,pm_off,risk,0,unsupported_personal_claim,12,0
pilot_mini,pm_off,risk,0,source_set_appropriateness,12,4.416666666666667
pilot_mini,pm_off,risk,0,strategy_overuse,12,0
pilot_mini,pm_off,risk,0,strategy_omission,12,0.08333333333333333
pilot_mini,pm_off,risk,0,response_support_sufficiency,12,4.666666666666667
pilot_mini,pm_off,risk,0,overall_risk,12,0.16666666666666666
pilot_mini,pm_off,risk,0,omission_severity,12,0
pilot_mini,pm_off,omission,0,omission_severity,12,0.16666666666666666
pilot_mini,pm_off,omission,0,response_support_sufficiency,12,4.833333333333333
pilot_mini,pm_on,quality,0,overall,12,3.3333333333333335
pilot_mini,pm_on,quality,0,emotional_support,12,3.25
pilot_mini,pm_on,quality,0,personalization,12,3.1666666666666665
pilot_mini,pm_on,quality,0,memory_appropriateness,12,3.6666666666666665
pilot_mini,pm_on,quality,0,factual_grounding,12,5
pilot_mini,pm_on,quality,0,temporal_consistency,12,5
pilot_mini,pm_on,quality,0,non_intrusiveness,12,4.833333333333333
pilot_mini,pm_on,quality,1,overall,12,3.5
pilot_mini,pm_on,quality,1,emotional_support,12,3.4166666666666665
pilot_mini,pm_on,quality,1,personalization,12,3.1666666666666665
pilot_mini,pm_on,quality,1,memory_appropriateness,12,3.6666666666666665
pilot_mini,pm_on,quality,1,factual_grounding,12,5
pilot_mini,pm_on,quality,1,temporal_consistency,12,5
pilot_mini,pm_on,quality,1,non_intrusiveness,12,4.833333333333333
pilot_mini,pm_on,risk,0,selected_evidence_misuse,12,0
pilot_mini,pm_on,risk,0,unnecessary_exposure,12,0
pilot_mini,pm_on,risk,0,stale_or_conflict,12,0
pilot_mini,pm_on,risk,0,unsupported_personal_claim,12,0
pilot_mini,pm_on,risk,0,source_set_appropriateness,12,4
pilot_mini,pm_on,risk,0,strategy_overuse,12,0
pilot_mini,pm_on,risk,0,strategy_omission,12,0
pilot_mini,pm_on,risk,0,response_support_sufficiency,12,4.416666666666667
pilot_mini,pm_on,risk,0,overall_risk,12,0.4166666666666667
pilot_mini,pm_on,risk,0,omission_severity,12,0
pilot_mini,pm_on,omission,0,omission_severity,12,0.25
pilot_mini,pm_on,omission,0,response_support_sufficiency,12,4.666666666666667
pilot_mini,rule_off,quality,0,overall,12,3.6666666666666665
pilot_mini,rule_off,quality,0,emotional_support,12,3.5833333333333335
pilot_mini,rule_off,quality,0,personalization,12,3.4166666666666665
pilot_mini,rule_off,quality,0,memory_appropriateness,12,3.6666666666666665
pilot_mini,rule_off,quality,0,factual_grounding,12,5
pilot_mini,rule_off,quality,0,temporal_consistency,12,5
pilot_mini,rule_off,quality,0,non_intrusiveness,12,4.833333333333333
pilot_mini,rule_off,quality,1,overall,12,3.6666666666666665
pilot_mini,rule_off,quality,1,emotional_support,12,3.5833333333333335
pilot_mini,rule_off,quality,1,personalization,12,3.5833333333333335
pilot_mini,rule_off,quality,1,memory_appropriateness,12,3.9166666666666665
pilot_mini,rule_off,quality,1,factual_grounding,12,5
pilot_mini,rule_off,quality,1,temporal_consistency,12,5
pilot_mini,rule_off,quality,1,non_intrusiveness,12,4.916666666666667
pilot_mini,rule_off,risk,0,selected_evidence_misuse,12,0
pilot_mini,rule_off,risk,0,unnecessary_exposure,12,0
pilot_mini,rule_off,risk,0,stale_or_conflict,12,0
pilot_mini,rule_off,risk,0,unsupported_personal_claim,12,0
pilot_mini,rule_off,risk,0,source_set_appropriateness,12,4.333333333333333
pilot_mini,rule_off,risk,0,strategy_overuse,12,0
pilot_mini,rule_off,risk,0,strategy_omission,12,0
pilot_mini,rule_off,risk,0,response_support_sufficiency,12,4.583333333333333
pilot_mini,rule_off,risk,0,overall_risk,12,0.3333333333333333
pilot_mini,rule_off,risk,0,omission_severity,12,0
pilot_mini,rule_off,omission,0,omission_severity,12,0.25
pilot_mini,rule_off,omission,0,response_support_sufficiency,12,4.5
pilot_mini,rule_on,quality,0,overall,12,3.25
pilot_mini,rule_on,quality,0,emotional_support,12,3.1666666666666665
pilot_mini,rule_on,quality,0,personalization,12,3.0833333333333335
pilot_mini,rule_on,quality,0,memory_appropriateness,12,3.5
pilot_mini,rule_on,quality,0,factual_grounding,12,5
pilot_mini,rule_on,quality,0,temporal_consistency,12,5
pilot_mini,rule_on,quality,0,non_intrusiveness,12,4.75
pilot_mini,rule_on,quality,1,overall,12,3.5
pilot_mini,rule_on,quality,1,emotional_support,12,3.4166666666666665
pilot_mini,rule_on,quality,1,personalization,12,3.1666666666666665
pilot_mini,rule_on,quality,1,memory_appropriateness,12,3.5833333333333335
pilot_mini,rule_on,quality,1,factual_grounding,12,5
pilot_mini,rule_on,quality,1,temporal_consistency,12,5
pilot_mini,rule_on,quality,1,non_intrusiveness,12,4.833333333333333
pilot_mini,rule_on,risk,0,selected_evidence_misuse,12,0
pilot_mini,rule_on,risk,0,unnecessary_exposure,12,0
pilot_mini,rule_on,risk,0,stale_or_conflict,12,0
pilot_mini,rule_on,risk,0,unsupported_personal_claim,12,0
pilot_mini,rule_on,risk,0,source_set_appropriateness,12,4
pilot_mini,rule_on,risk,0,strategy_overuse,12,0
pilot_mini,rule_on,risk,0,strategy_omission,12,0.08333333333333333
pilot_mini,rule_on,risk,0,response_support_sufficiency,12,4.416666666666667
pilot_mini,rule_on,risk,0,overall_risk,12,0.4166666666666667
