action,api_usd,arm,completion_token_ids,final_decode_ms,freeze_sha256,generation_ms,generation_setup_ms,generator_first_token_ms,input_ids_sha256,input_tokens,local_complete_ms,local_first_text_ms,local_first_token_ms,messages_sha256,natural_eos,ordinal,output_tokens,policy_ms,position,prompt_build_ms,reference_response_matches,repeat,request_id,response_sha256,response_text,retrieval_ms,scenario_id,seed,source_invocations,state_hydration_ms,tokenization_ms,turn_index,unit_id,user_id,warmup
MPMSME+RS,0,fixed_off,"[2181, 10578, 1093, 9298, 3842, 1578, 706, 75940, 709, 264, 2763, 315, 21958, 323, 1903, 499, 3488, 701, 21730, 5208, 13, 3011, 649, 387, 2216, 11292, 311, 21546, 13, 3053, 499, 3371, 757, 810, 922, 1148, 596, 1027, 2133, 1555, 701, 4059, 2533, 279, 13123, 30, 3639, 527, 1063, 315, 279, 11555, 323, 16024, 430, 617, 1027, 40986, 369, 499, 30, 128009]",0.11848192662000656,391eb62b5e02e9d7fc1641bfc3dc5e5a596f8ea76135eaa3fe1f3da77edf1b62,1929.3715110979974,0.04576193168759346,257.88975111208856,6ea14956e3e218c0ff81ad2c1b6f98ae4ec0d25e4716395eaa3a798bdca7d070,1618,2104.0586510207504,432.532706996426,432.45840910822153,5fe12dbe2cd69ca1c7c595d2d19cb0a5bc95797b7475cd6936d7726b8392d740,True,0,62,0.007070833817124367,0,0.0431588850915432,True,0,r0:state_7b616bddefee4a946561:fixed_off,010387abc807840d3e5e5a0978be0e2c9f03447df5475eee05761cc8628ce7b7,It sounds like seeing John again has stirred up a lot of emotions and made you question your healing progress. That can be really tough to navigate. Can you tell me more about what's been going through your mind since the encounter? What are some of the thoughts and feelings that have been arising for you?,170.25811411440372,p11:2,101,4,0.1121091190725565,4.102443112060428,3,state_7b616bddefee4a946561,p11,False
M0+R0,0,context_only,"[2181, 596, 6724, 4725, 311, 2733, 1093, 499, 3077, 4529, 264, 3094, 1203, 11, 5423, 994, 17011, 449, 264, 8346, 1093, 9298, 459, 506, 13, 1102, 3250, 956, 3152, 499, 2351, 539, 21730, 11, 719, 4856, 430, 499, 2351, 2103, 3318, 1555, 1063, 315, 279, 21958, 430, 527, 2103, 3118, 13, 3053, 499, 3371, 757, 810, 922, 1148, 499, 3152, 555, 330, 359, 40847, 16024, 323, 19459, 44969, 3639, 11951, 706, 1027, 5108, 709, 369, 499, 2533, 9298, 3842, 30, 128009]",0.143769895657897,391eb62b5e02e9d7fc1641bfc3dc5e5a596f8ea76135eaa3fe1f3da77edf1b62,2222.3675129935145,0.03496208228170872,69.29573602974415,a43db1ff72baa1d1ae4d1384eb5b52a4c6cd65c4c8c6b9b18e79c2ad83bfecd3,311,2223.7557228654623,70.57372201234102,70.54017600603402,df0255124b5883d0057c1dddfb91f0cce2c8df89d9d3a62b8f813d607a515702,True,1,81,0.006597023457288742,1,0.008631031960248947,,0,r0:state_7b616bddefee4a946561:context_only,6ba5710987c84b420006595037345556d295afb8b61e5d0d62fa68597b066911,"It's completely normal to feel like you've taken a step back, especially when faced with a trigger like seeing an ex. It doesn't mean you're not healing, but rather that you're still working through some of the emotions that are still present. Can you tell me more about what you mean by ""unresolved feelings and memories""? What specifically has been coming up for you since seeing John?",0.02995389513671398,p11:2,101,0,0.10997895151376724,1.0543169919401407,3,state_7b616bddefee4a946561,p11,False
MP+RS,0,pm_off,"[2181, 10578, 1093, 9298, 3842, 1578, 706, 75940, 709, 264, 2763, 315, 21958, 323, 19459, 505, 701, 3347, 5133, 13, 3011, 649, 387, 2216, 11292, 311, 21546, 11, 5423, 994, 499, 3463, 499, 4265, 1903, 5208, 304, 21730, 13, 3053, 499, 3371, 757, 810, 922, 1148, 596, 1027, 2133, 1555, 701, 4059, 323, 4851, 2533, 279, 13123, 30, 3639, 527, 1063, 315, 279, 11555, 323, 16024, 430, 617, 1027, 40986, 369, 499, 30, 128009]",0.19044103100895882,391eb62b5e02e9d7fc1641bfc3dc5e5a596f8ea76135eaa3fe1f3da77edf1b62,2084.1060939710587,0.042150961235165596,118.01937804557383,631e38f0a7ad6f755e9909fca88b701a56708f7b5fc98991fa452cd391b038b6,667,2268.711898010224,302.4926900397986,302.43474105373025,7157b3ebb7684f0abb69aa35ef5bacd5f1d4669419e34ebb4d26ffcd1eeab30a,True,2,74,6.793885957449675,2,0.03236113116145134,True,0,r0:state_7b616bddefee4a946561:pm_off,c56fb2c2c229661ce1144e8d0f16948ebda0b0a74e3863b54c8ea5dd7b717d7e,"It sounds like seeing John again has stirred up a lot of emotions and memories from your past relationship. That can be really tough to navigate, especially when you thought you'd made progress in healing. Can you tell me more about what's been going through your mind and heart since the encounter? What are some of the thoughts and feelings that have been arising for you?",175.39662797935307,p11:2,101,2,0.1161680556833744,2.0341689232736826,3,state_7b616bddefee4a946561,p11,False
MSE+RS,0,rule_off,"[2181, 10578, 1093, 9298, 3842, 1578, 706, 75940, 709, 264, 2763, 315, 21958, 323, 1903, 499, 3488, 701, 21730, 5208, 13, 3011, 649, 387, 2216, 11292, 311, 21546, 13, 3053, 499, 3371, 757, 810, 922, 1148, 596, 1027, 2133, 1555, 701, 4059, 2533, 279, 13123, 30, 3639, 527, 1063, 315, 279, 11555, 323, 16024, 430, 617, 1027, 40986, 369, 499, 30, 128009]",0.12454995885491371,391eb62b5e02e9d7fc1641bfc3dc5e5a596f8ea76135eaa3fe1f3da77edf1b62,1927.1395101677626,0.04182802513241768,257.25876400247216,88b6997a6b6b54fad531aaf864f31394226f099c98bd35cb1e678d86f95e0dee,1589,2104.6177451498806,434.6673800610006,434.61244902573526,4ec7758d0d800ad42649f8158de1409ede7e0e71a97eac07a4e89b48e9268f69,True,3,62,161.78707010112703,3,0.0334868673235178,True,0,r0:state_7b616bddefee4a946561:rule_off,010387abc807840d3e5e5a0978be0e2c9f03447df5475eee05761cc8628ce7b7,It sounds like seeing John again has stirred up a lot of emotions and made you question your healing progress. That can be really tough to navigate. Can you tell me more about what's been going through your mind since the encounter? What are some of the thoughts and feelings that have been arising for you?,11.63360895588994,p11:2,101,3,0.1439980696886778,3.713693004101515,3,state_7b616bddefee4a946561,p11,False
ME+R0,0,me_r0,"[2181, 10578, 1093, 9298, 3842, 1578, 706, 75940, 709, 264, 2763, 315, 21958, 323, 1903, 499, 3488, 701, 21730, 5208, 13, 3011, 649, 387, 2216, 11292, 13, 3053, 499, 3371, 757, 810, 922, 1148, 499, 2351, 16026, 311, 11322, 304, 3878, 315, 21730, 323, 7366, 389, 30, 3639, 1587, 430, 1427, 1093, 369, 499, 30, 128009]",0.10775914415717125,391eb62b5e02e9d7fc1641bfc3dc5e5a596f8ea76135eaa3fe1f3da77edf1b62,1679.3838848825544,0.035264063626527786,191.89229607582092,6a8fc3c1df280b7716761ab44f1f51cdcd2184a3ff692919e9da90f82ca1760f,1187,1685.2399881463498,197.69015116617084,197.64064019545913,db6229fac977d3ba449969166ed6a61b71dc3062dd55767bef14022484eeb0d3,True,4,56,0.0064300838857889175,4,0.014177989214658737,,0,r0:state_7b616bddefee4a946561:me_r0,16035850c3ca97f5f5e10dfcda3631027228770f6d27e1e65aad199e9cef2bb0,It sounds like seeing John again has stirred up a lot of emotions and made you question your healing progress. That can be really tough. Can you tell me more about what you're hoping to achieve in terms of healing and moving on? What does that look like for you?,2.8382630553096533,p11:2,101,1,0.11106906458735466,2.743139863014221,3,state_7b616bddefee4a946561,p11,False
MSE+RS,0,rule_off,"[40, 2846, 779, 16089, 499, 6612, 10882, 11821, 420, 449, 757, 13, 1102, 5097, 264, 2763, 315, 25775, 311, 25670, 323, 3237, 1057, 16024, 11, 5423, 994, 433, 4131, 311, 2555, 439, 4443, 439, 75040, 323, 3347, 12135, 13, 1102, 10578, 1093, 499, 2351, 8430, 264, 2766, 16075, 323, 36218, 922, 701, 3938, 11, 323, 430, 596, 6724, 49839, 13, 19418, 499, 1093, 311, 3137, 810, 922, 1148, 596, 1027, 2133, 389, 323, 1268, 499, 3077, 1027, 8430, 2533, 279, 13306, 30, 128009]",0.13058586046099663,391eb62b5e02e9d7fc1641bfc3dc5e5a596f8ea76135eaa3fe1f3da77edf1b62,2522.5548481103033,0.044413842260837555,259.4196810387075,7affc01621b53d8dec32ff4f07c8f416d632ba4dfab3fbc289e6f7475bb9ff27,1615,2760.6085250154138,497.3984051030129,497.342772083357,3f1f27c987326d554bd5e16c88eaa691928a122049018677b51a2cf52f3a7a9d,True,5,83,220.39699810557067,0,0.03742496483027935,True,0,r0:state_7f1f924ade7a1af6ae77:rule_off,fb1402c5d397984e3d2c60727722ff7aed7dd8ede6d448ee25c1f3fa1b812dc0,"I'm so glad you felt comfortable sharing this with me. It takes a lot of courage to acknowledge and express our feelings, especially when it comes to something as personal as loneliness and past relationships. It sounds like you're feeling a bit stuck and uncertain about your future, and that's completely understandable. Would you like to talk more about what's been going on and how you've been feeling since the wedding?",13.422240037471056,p6:2,303,3,0.11321203783154488,3.90880205668509,8,state_7f1f924ade7a1af6ae77,p6,False
MSE+RS,0,pm_off,"[40, 2846, 779, 16089, 499, 6612, 10882, 11821, 420, 449, 757, 13, 1102, 5097, 264, 2763, 315, 25775, 311, 25670, 323, 3237, 1057, 16024, 11, 5423, 994, 433, 4131, 311, 2555, 439, 4443, 439, 75040, 323, 3347, 12135, 13, 1102, 10578, 1093, 499, 2351, 8430, 264, 2766, 16075, 323, 36218, 922, 701, 3938, 11, 323, 430, 596, 6724, 49839, 13, 19418, 499, 1093, 311, 3137, 810, 922, 1148, 596, 1027, 2133, 389, 323, 1268, 499, 3077, 1027, 8430, 2533, 279, 13306, 30, 128009]",0.2053980715572834,391eb62b5e02e9d7fc1641bfc3dc5e5a596f8ea76135eaa3fe1f3da77edf1b62,2519.0238230861723,0.044558895751833916,259.7709991969168,7affc01621b53d8dec32ff4f07c8f416d632ba4dfab3fbc289e6f7475bb9ff27,1615,2759.6458841580898,500.26919902302325,500.18766219727695,3f1f27c987326d554bd5e16c88eaa691928a122049018677b51a2cf52f3a7a9d,True,6,83,7.15566286817193,1,0.0407160259783268,True,0,r0:state_7f1f924ade7a1af6ae77:pm_off,fb1402c5d397984e3d2c60727722ff7aed7dd8ede6d448ee25c1f3fa1b812dc0,"I'm so glad you felt comfortable sharing this with me. It takes a lot of courage to acknowledge and express our feelings, especially when it comes to something as personal as loneliness and past relationships. It sounds like you're feeling a bit stuck and uncertain about your future, and that's completely understandable. Would you like to talk more about what's been going on and how you've been feeling since the wedding?",229.12979312241077,p6:2,303,3,0.11001015082001686,3.935921937227249,8,state_7f1f924ade7a1af6ae77,p6,False
M0+R0,0,context_only,"[40, 2846, 779, 16089, 499, 2351, 8430, 10882, 3403, 311, 4430, 420, 449, 757, 13, 1102, 5097, 264, 2763, 315, 25775, 311, 25670, 323, 17302, 16024, 315, 75040, 323, 31398, 13, 1102, 10578, 1093, 499, 2351, 49183, 430, 499, 2351, 2103, 10168, 8800, 3347, 12135, 11, 323, 430, 596, 264, 2466, 3094, 13, 3053, 499, 3371, 757, 810, 922, 1148, 596, 1027, 2133, 389, 449, 499, 2533, 701, 13219, 596, 13306, 30, 3639, 527, 1063, 315, 279, 21958, 430, 617, 1027, 40986, 369, 499, 30, 128009]",0.13612397015094757,391eb62b5e02e9d7fc1641bfc3dc5e5a596f8ea76135eaa3fe1f3da77edf1b62,2387.334013124928,0.05748099647462368,86.5944130346179,6efc2a166d90f053db5284aa3a1f3233a389614032db68995b901d0644bb85b2,441,2389.746693195775,88.93660712055862,88.87096913531423,5a730eb2c3b9dd26b5b4a0d6fb17cb9e0ca37c96ef6436b83144595b86913e6a,True,7,86,0.010302988812327385,2,0.013960059732198715,,0,r0:state_7f1f924ade7a1af6ae77:context_only,f3cc16d184c035d516037434be2aaf2f710a36f9939d6fc0b8a120f7b6a32001,"I'm so glad you're feeling comfortable enough to share this with me. It takes a lot of courage to acknowledge and confront feelings of loneliness and isolation. It sounds like you're recognizing that you're still holding onto past relationships, and that's a big step. Can you tell me more about what's been going on with you since your sister's wedding? What are some of the emotions that have been arising for you?",0.05901302210986614,p6:2,303,0,0.1667700707912445,1.9690289627760649,8,state_7f1f924ade7a1af6ae77,p6,False
MPMSME+RS,0,fixed_off,"[40, 2846, 779, 16089, 499, 6612, 10882, 11821, 420, 449, 757, 13, 1102, 5097, 264, 2763, 315, 25775, 311, 25670, 323, 3237, 1057, 16024, 11, 5423, 994, 433, 4131, 311, 2555, 439, 4443, 439, 75040, 323, 3347, 12135, 13, 1102, 10578, 1093, 499, 2351, 8430, 264, 2766, 16075, 323, 36218, 922, 701, 3938, 11, 323, 430, 596, 6724, 49839, 13, 19418, 499, 1093, 311, 3137, 810, 922, 1148, 596, 1027, 2133, 389, 323, 1268, 499, 3077, 1027, 8430, 2533, 279, 13306, 30, 128009]",0.19085779786109924,391eb62b5e02e9d7fc1641bfc3dc5e5a596f8ea76135eaa3fe1f3da77edf1b62,2529.8799560405314,0.04481198266148567,260.59927698224783,71fe5808212d342d49a8dfa18b2ffb3c775b28dc199b74e6a10d0204b4b2fde7,1644,2776.651334017515,507.2381990030408,507.1797971613705,772ec45fb7f0f5dff90293202c09861d07a21e119a96f118524355d4effa2a7a,True,8,83,0.0069818925112485886,3,0.04219682887196541,True,0,r0:state_7f1f924ade7a1af6ae77:fixed_off,fb1402c5d397984e3d2c60727722ff7aed7dd8ede6d448ee25c1f3fa1b812dc0,"I'm so glad you felt comfortable sharing this with me. It takes a lot of courage to acknowledge and express our feelings, especially when it comes to something as personal as loneliness and past relationships. It sounds like you're feeling a bit stuck and uncertain about your future, and that's completely understandable. Would you like to talk more about what's been going on and how you've been feeling since the wedding?",242.4384991172701,p6:2,303,4,0.11270120739936829,3.9353291504085064,8,state_7f1f924ade7a1af6ae77,p6,False
ME+R0,0,me_r0,"[40, 2846, 779, 16089, 499, 6612, 10882, 11821, 420, 449, 757, 13, 1102, 5097, 264, 2763, 315, 25775, 311, 25670, 323, 3237, 16024, 315, 75040, 11, 5423, 1306, 264, 5199, 1567, 1093, 701, 13219, 596, 13306, 13, 1102, 10578, 1093, 499, 2351, 49183, 430, 499, 2351, 2103, 8863, 701, 3347, 12135, 323, 430, 596, 28987, 701, 3118, 13, 19418, 499, 1093, 311, 13488, 1148, 430, 596, 1093, 369, 499, 11, 323, 1148, 499, 1781, 2643, 387, 11190, 304, 7366, 4741, 30, 128009]",0.12449291534721851,391eb62b5e02e9d7fc1641bfc3dc5e5a596f8ea76135eaa3fe1f3da77edf1b62,2435.3130941744894,0.05545280873775482,227.9924221802503,d7ddc22b0eb7276d686d2feabff5cd66780782aadf1735e4b6da01475a3f8302,1297,2443.2531350757927,235.85608205758035,235.80797016620636,dd206dd7b8082a3af6128280e4ce1199b7d221e97aa086ea40285dbdcf9bb3ac,True,9,82,0.010916031897068024,4,0.01888279803097248,,0,r0:state_7f1f924ade7a1af6ae77:me_r0,26303f0230d969bf5f6381fcaf978080df37b0c379b4f5eb05d95384bb726945,"I'm so glad you felt comfortable sharing this with me. It takes a lot of courage to acknowledge and express feelings of loneliness, especially after a significant event like your sister's wedding. It sounds like you're recognizing that you're still processing your past relationships and that's affecting your present. Would you like to explore what that's like for you, and what you think might be helpful in moving forward?",3.9063971489667892,p6:2,303,1,0.1566070131957531,3.667292185127735,8,state_7f1f924ade7a1af6ae77,p6,False
