card_id,state_id,user_id,fold,legal_actions,chosen_action,pm_response_preference,pm_misuse,pm_omission,pm_strategy_risk,pm_input_tokens,pm_source_invocations,shuffle_expectation_response_preference,shuffle_expectation_misuse,shuffle_expectation_omission,shuffle_expectation_strategy_risk,shuffle_expectation_input_tokens,shuffle_expectation_source_invocations,context_only_response_preference,context_only_misuse,context_only_omission,context_only_strategy_risk,context_only_input_tokens,context_only_source_invocations,me_r0_response_preference,me_r0_misuse,me_r0_omission,me_r0_strategy_risk,me_r0_input_tokens,me_r0_source_invocations,full_structured_response_preference,full_structured_misuse,full_structured_omission,full_structured_strategy_risk,full_structured_input_tokens,full_structured_source_invocations
card_00a60d49422603d8eaa6,state_bd91983afa739d0c0737,sgv31_u06,0,M0+R0|M0+RS|MP+R0|MP+RS|MPMS+R0|MPMS+RS|MS+R0|MS+RS,MPMS+RS,0.5629879073490375,0.0,0.0,0.0,771.0,3.0,0.5455976739691349,0.07291666666666667,0.25,0.25,619.1041666666666,2.041666666666667,0.30890514809741515,0.0,0.5,1.0,209.0,0.0,0.30890514809741515,0.0,0.5,1.0,209.0,0.0,0.5629879073490375,0.0,0.0,0.0,771.0,3.0
card_015ca8b8f9360b2b2697,state_017f27bddc5532d591d2,sgv31_u16,0,M0+R0|M0+RS|ME+R0|ME+RS,ME+RS,0.6477291697335709,0.0,0.0,0.0,683.0,2.0,0.5738645848667855,0.0,0.08854166666666666,0.25,565.3958333333334,1.5729166666666667,0.3522708302664292,0.0,0.5,1.0,205.0,0.0,0.3522708302664292,0.0,0.0,1.0,231.0,1.0,0.6477291697335709,0.0,0.0,0.0,683.0,2.0
card_016b5ceb8d0311b76651,state_d6f3cab4f6d3122e390b,sgv31_u01,0,M0+R0|M0+RS|MS+R0|MS+RS,MS+RS,0.45937805816938654,0.0,0.0,0.0,694.0,2.0,0.5098741237533869,0.0,0.27083333333333337,0.25,570.375,1.4791666666666665,0.3126818317579353,0.0,1.0,1.0,204.0,0.0,0.3126818317579353,0.0,1.0,1.0,204.0,0.0,0.45937805816938654,0.0,0.0,0.0,694.0,2.0
card_0180c095ebd1e0c813de,state_b913cbfb26d86593a1d4,sgv31_u11,0,M0+R0|M0+RS|MP+R0|MP+RS|MPMS+R0|MPMS+RS|MS+R0|MS+RS,MPMS+RS,0.7062208237505765,0.5,0.0,0.0,756.0,3.0,0.5769328663364031,0.25,0.28125,0.25,605.8125,2.041666666666667,0.4186262186022597,0.0,1.0,1.0,200.0,0.0,0.4186262186022597,0.0,1.0,1.0,200.0,0.0,0.7062208237505765,0.5,0.0,0.0,756.0,3.0
card_022c35dc4797295069c4,state_5a42e018e45c17646d2d,sgv31_u01,0,M0+R0|M0+RS|ME+R0|ME+RS|MP+R0|MP+RS|MPE+R0|MPE+RS|MPMS+R0|MPMS+RS|MPMSME+R0|MPMSME+RS|MS+R0|MS+RS|MSE+R0|MSE+RS,MPE+RS,0.5279021557397781,0.0,0.0,0.0,677.0,3.0,0.5419323270695162,0.08333333333333333,0.19791666666666663,0.25,564.6041666666667,2.375,0.414184703089874,0.0,0.5,1.0,202.0,0.0,0.6409412759202859,0.0,0.5,1.0,228.0,1.0,0.5945370585587451,0.5,0.0,0.0,722.0,4.0
card_02e0626048c268a9bc66,state_dc3917fff5be2cef316f,sgv31_u06,0,M0+R0|M0+RS|MP+R0|MP+RS,M0+RS,0.6781852670149338,0.0,0.5,0.0,591.0,1.0,0.5470662741715405,0.0,0.13541666666666669,0.25,546.25,1.4791666666666665,0.4619048963173243,0.0,0.5,1.0,202.0,0.0,0.4619048963173243,0.0,0.5,1.0,202.0,0.0,0.6089661924189973,0.0,0.0,0.0,663.0,2.0
card_04c1c4790d4235968f84,state_1ea43a58308f71e7b5ad,sgv31_u11,0,M0+R0|M0+RS|MP+R0|MP+RS,MP+R0,0.6873181682420647,0.0,0.0,1.0,265.0,1.0,0.5098741237533869,0.0,0.27083333333333337,0.25,573.0416666666666,1.4791666666666665,0.3126818317579353,0.0,1.0,1.0,195.0,0.0,0.3126818317579353,0.0,1.0,1.0,195.0,0.0,0.45937805816938654,0.0,0.0,0.0,701.0,2.0
card_0571f8a2b1bfd9e9e49e,state_cb9f7661a5f418ec49c0,sgv31_u01,0,M0+R0|M0+RS|ME+R0|ME+RS|MS+R0|MS+RS|MSE+R0|MSE+RS,ME+R0,0.5526099954010326,0.0,0.0,1.0,244.0,1.0,0.43028122717370626,0.0,0.23958333333333331,0.25,557.5,2.208333333333333,0.5509997283501236,0.0,0.5,1.0,199.0,0.0,0.5526099954010326,0.0,0.0,1.0,244.0,1.0,0.37961605570825613,0.0,0.0,0.0,678.0,3.0
card_06dff2f8599b7341faa4,state_3aa33ab57f5ed20bb869,sgv31_u16,0,M0+R0|M0+RS|ME+R0|ME+RS|MS+R0|MS+RS|MSE+R0|MSE+RS,ME+R0,0.596788307143772,0.0,0.5,0.5,225.0,1.0,0.48308526734979745,0.0,0.2708333333333333,0.125,545.7916666666667,2.208333333333333,0.6079418952619244,0.0,0.5,1.0,199.0,0.0,0.596788307143772,0.0,0.5,0.5,225.0,1.0,0.5234345668943279,0.0,0.0,0.0,664.0,3.0
card_0744ed8c7f7e4408e32a,state_d6f3cab4f6d3122e390b,sgv31_u01,0,M0+R0|M0+RS|ME+R0|ME+RS|MP+R0|MP+RS|MPE+R0|MPE+RS,MP+RS,0.6816942999862329,0.0,0.0,0.0,709.0,2.0,0.5201988052988398,0.09375,0.041666666666666664,0.25,596.875,1.9791666666666667,0.5200917906896302,0.0,1.0,1.0,204.0,0.0,0.5445203817873873,0.0,0.0,1.0,249.0,1.0,0.3489183974621882,0.5,0.0,0.0,745.0,3.0
